"Chuck Brown & the Soul Searchers",Bustin Loose
"Earth Wind & Fire",Boogie Wonderland
"Earth Wind & Fire",Let's Groove
"Earth Wind & Fire",Shining Star
"Kool & the Gang",Jungle Boogie
"Kool & the Gang",Get Down On It
"Sly & the Family Stone",Dance to the Music
"Sly & the Family Stone",I want to take you Higher
"Sly & the Family Stone",Thank You (Falettinme Be Mice Elf Agin)
Aretha Franklin,Rock Steady
Average White Band,Pick Up the Pieces
Brass Construction,Get Up To Get Down
Brick,"Ain't Gonna Hurt Nobody"
Cameo,Funk Funk
Cameo,“Word Up!”
Carl Carlton,She's A Bad Mama Jama
Carl Douglas,Kung Fu Fighting
Dam-Funk,Candy Dancin'
Funkadelic,One Nation Under a Groove
Herbie Hancock,Chameleon
Hot Chocolate,You Sexy Thing
James Brown,"Get Up (I Feel Like Being A) Sex Machine Part 1"
James Brown,"Papa's Got A Brand New Bag Part 1"
Jean Knight,Mr. Big Stuff
"Lipps Inc.",Funkytown
Michael Jackson,Don’t Stop ‘Til You Get Enough
Mtume,Juicy Fruit
Ohio Players,Fire
Ohio Players,Love Rollercoaster
Parliament,Flashlight
Parliament,Give Up the Funk (Tear The Roof Off)
"Peaches & Herb",Shake Your Groove Thing
Prince,Irresistible Bitch
Red Hot Chili Peppers,Give It Away
Rick James,Give It To Me Baby
Rick James,Super Freak
Rufus,Tell Me Something Good
Roger Troutman,“So Ruff, So Tuff”
Slave,Slide
Stevie Wonder,Higher Ground
Stevie Wonder,Superstition
The Bar-Kays,Freakshow On The Dance Floor
The Commodores,Brick House
The Gap Band,You Dropped a Bomb on Me
The Isley Brothers,It's Your Thing
The Jacksons,Blame It on the Boogie
The Meters,Cissy Strut
The Meters,Just Kissed My Baby
The Staple Sings,I'll Take You There
The Whispers,Rock Steady
Wild Cheery,Play That Funky Music
Wild Sugar,Bring It Here
