camel,the snow goose
caravan,in the land of grey and pink
emerson,fanfare for the common man
emerson,from the beginning
emerson,jerusalem
emerson,knife edge
emerson,lucky man
emerson,pirates
emerson,still...you turn me on
emmerson,"karn evil 9 (1st impression pts. 1 & 2)"
emmerson,tarkus
frank zappa,peaches en regalia
genesis,dancing with the moonlit knight
genesis,firth of fifth
genesis,supper's ready
genesis,the cinema show
genesis,watcher of the skies
gentle giant,free hand
gentle giant,octopus
jethro tull,aqualung
jethro tull,locomotive breath
jethro tull,thick as a brick
kansas,dust in the wind
kansas,journey from mariabronn
kansas,magnum opus
kansas,song for america
kansas,the wall
king crimson,"larks' tongues in apsic, pt. i"
king crimson,21st century schizoid man
king crimson,epitah
king crimson,in the court of the crimson king
king crimson,red
king crimson,starless
mahavishnu orchestra,birds of fire
pink floyd,"shine on you crazy diamonds (pts.i-v)"
pink floyd,comfortably numb
pink floyd,dogs
pink floyd,dogs
pink floyd,echoes
pink floyd,time
rush,la villa strangiato
rush,the trees
rush,tom sawyer
rush,xanadu
rush,yyz
soft machine,moon in june
styx,"fooling yourself(the angry young man)"
styx,castle walls
styx,suite madame blue
styx,the grand illusion
the alan parsons project,eye in the sky
the alan parsons project,games people play
the alan parsons project,i robot
the alan parsons project,sirius
van der graaf generator,darkness (11/11)
van der graaf generator,pawn hearts
yes,and you and i
yes,awaken
yes,close to the edge
yes,heart of the sunrise
yes,roundabout
yes,starship trooper
yes,the revealing science of god
